ct_id,geo,units_total,units_bachelor,units_1br,units_2br,units_3br_plus,share_bachelor,share_1br,share_2br,share_3br_plus,rent_bachelor,rent_1br,rent_2br,rent_3br_plus,rent_total,vacancy_bachelor,vacancy_1br,vacancy_2br,vacancy_3br_plus,vacancy_total,median_household_income_2020,annual_rent_total,rent_income_pct,affordability_tier
29.0,0029.00 - Winnipeg,175.0,7.0,132.0,33.0,3.0,0.04,0.7542857142857143,0.1885714285714285,0.0171428571428571,,,,,,,0.0,,,0.0,74500.0,,,
30.0,0030.00 - Winnipeg,208.0,26.0,147.0,35.0,0.0,0.125,0.7067307692307693,0.1682692307692307,0.0,,,,,,,,,,,83000.0,,,
31.0,0031.00 - Winnipeg,,,,,,,,,,,,,,,,,,,,78500.0,,,
32.0,0032.00 - Winnipeg,108.0,5.0,74.0,28.0,1.0,0.0462962962962962,0.6851851851851852,0.2592592592592592,0.0092592592592592,,675.0,788.0,,702.0,,,,,,66500.0,8424.0,12.66766917293233,Lower relative burden
33.0,0033.00 - Winnipeg,,,,,,,,,,,,,,,,,,,,65000.0,,,
34.0,0034.00 - Winnipeg,43.0,0.0,22.0,20.0,1.0,0.0,0.5116279069767442,0.4651162790697674,0.0232558139534883,,,,,,,,,,,39600.0,,,
35.0,0035.00 - Winnipeg,56.0,9.0,21.0,17.0,9.0,0.1607142857142857,0.375,0.3035714285714285,0.1607142857142857,,,,,,,,,,,49200.0,,,
36.0,0036.00 - Winnipeg,29.0,2.0,17.0,10.0,0.0,0.0689655172413793,0.5862068965517241,0.3448275862068966,0.0,,,,,,,,,,,38400.0,,,
37.0,0037.00 - Winnipeg,,,,,,,,,,,,,,,,,,,,74000.0,,,
38.0,0038.00 - Winnipeg,801.0,73.0,446.0,257.0,25.0,0.0911360799001248,0.5568039950062422,0.3208489388264669,0.031210986267166,694.0,926.0,1089.0,,966.0,,3.7,5.2,,3.9,57600.0,11592.0,20.125,Higher relative burden
39.0,0039.00 - Winnipeg,440.0,43.0,270.0,124.0,3.0,0.0977272727272727,0.6136363636363636,0.2818181818181818,0.0068181818181818,726.0,824.0,929.0,,840.0,,,0.0,,,61200.0,10080.0,16.470588235294116,Moderate relative burden
40.0,0040.00 - Winnipeg,25.0,0.0,15.0,10.0,0.0,0.0,0.6,0.4,0.0,,,,,,,,,,,83000.0,,,
41.0,0041.00 - Winnipeg,72.0,10.0,36.0,25.0,1.0,0.1388888888888889,0.5,0.3472222222222222,0.0138888888888888,673.0,797.0,834.0,,788.0,8.5,,,,,73000.0,9456.0,12.953424657534246,Lower relative burden
42.0,0042.00 - Winnipeg,233.0,13.0,114.0,106.0,0.0,0.055793991416309,0.4892703862660944,0.4549356223175965,0.0,,664.0,831.0,,726.0,,,,,,51600.0,8712.0,16.883720930232556,Moderate relative burden
43.0,0043.00 - Winnipeg,92.0,10.0,46.0,34.0,2.0,0.108695652173913,0.5,0.3695652173913043,0.0217391304347826,,654.0,781.0,,737.0,,,,,,46400.0,8844.0,19.060344827586206,Moderate relative burden
44.0,0044.00 - Winnipeg,103.0,0.0,81.0,22.0,0.0,0.0,0.7864077669902912,0.2135922330097087,0.0,,,,,,,,,,,62000.0,,,
45.0,0045.00 - Winnipeg,184.0,4.0,109.0,66.0,5.0,0.0217391304347826,0.592391304347826,0.358695652173913,0.0271739130434782,,640.0,,,692.0,,,,,,62400.0,8304.0,13.307692307692308,Lower relative burden
46.0,0046.00 - Winnipeg,253.0,5.0,135.0,109.0,4.0,0.0197628458498023,0.5335968379446641,0.4308300395256917,0.0158102766798418,,800.0,919.0,,847.0,,9.6,,,7.9,62000.0,10164.0,16.393548387096775,Lower relative burden
47.0,0047.00 - Winnipeg,73.0,0.0,46.0,27.0,0.0,0.0,0.6301369863013698,0.3698630136986301,0.0,,781.0,,,790.0,,2.5,,,1.6,74000.0,9480.0,12.81081081081081,Lower relative burden
48.0,0048.00 - Winnipeg,4.0,1.0,2.0,1.0,0.0,0.25,0.5,0.25,0.0,,,,,,,,,,,82000.0,,,
49.0,0049.00 - Winnipeg,7.0,1.0,4.0,2.0,0.0,0.1428571428571428,0.5714285714285714,0.2857142857142857,0.0,,,,,,,,,,,94000.0,,,
50.01,0050.01 - Winnipeg,22.0,0.0,13.0,9.0,0.0,0.0,0.5909090909090909,0.4090909090909091,0.0,,,,,,,,,,,60800.0,,,
50.02,0050.02 - Winnipeg,104.0,5.0,63.0,36.0,0.0,0.048076923076923,0.6057692307692307,0.3461538461538461,0.0,,947.0,,,982.0,,,,,,87000.0,11784.0,13.544827586206898,Lower relative burden
51.01,0051.01 - Winnipeg,223.0,2.0,58.0,130.0,33.0,0.0089686098654708,0.2600896860986547,0.5829596412556054,0.147982062780269,,,1539.0,,1575.0,,1.7,1.6,,1.4,111000.0,18900.0,17.027027027027028,Moderate relative burden
51.02,0051.02 - Winnipeg,,,,,,,,,,,,,,,,,,,,110000.0,,,
51.03,0051.03 - Winnipeg,214.0,0.0,71.0,107.0,36.0,0.0,0.3317757009345794,0.5,0.1682242990654205,,,,,,,,,,,93000.0,,,
52.0,0052.00 - Winnipeg,,,,,,,,,,,,,,,,,,,,,,,
100.01,0100.01 - Winnipeg,60.0,0.0,8.0,52.0,0.0,0.0,0.1333333333333333,0.8666666666666667,0.0,,,,,,,,,,,125000.0,,,
100.02,0100.02 - Winnipeg,,,,,,,,,,,,,,,,,,,,144000.0,,,
100.05,0100.05 - Winnipeg,165.0,0.0,51.0,114.0,0.0,0.0,0.3090909090909091,0.6909090909090909,0.0,,,,,,,,,,,90000.0,,,
