province,centre,ct_id,dwelling_type,units_bachelor,units_1br,units_2br,units_3br_plus,units_total
Man.,Winnipeg,0130.01,Apt & Other,3,150,130,0,283
Man.,Winnipeg,0130.02,Apt & Other,0,617,541,29,"1,187"
Man.,Winnipeg,0131.00,Apt & Other,0,30,64,3,97
Man.,Winnipeg,0132.00,Apt & Other,2,134,32,0,168
Man.,Winnipeg,0133.00,Apt & Other,4,89,123,1,217
Man.,Winnipeg,0134.00,Apt & Other,48,421,211,3,683
Man.,Winnipeg,0140.01,Apt & Other,0,90,199,87,376
Man.,Winnipeg,0140.02,Apt & Other,0,25,48,16,89
Man.,Winnipeg,0140.04,Apt & Other,16,331,928,126,"1,401"
Man.,Winnipeg,0140.05,Apt & Other,0,97,378,40,515
Man.,Winnipeg,0141.01,Apt & Other,34,398,383,70,885
Man.,Winnipeg,0141.02,Apt & Other,25,488,290,2,805
Man.,Winnipeg,0142.01,Apt & Other,4,218,166,0,388
Man.,Winnipeg,0142.02,Apt & Other,--,--,--,--,--
Man.,Winnipeg,0142.03,Apt & Other,43,"1,334",920,69,"2,366"
Man.,Winnipeg,0142.04,Apt & Other,--,--,--,--,--
Man.,Winnipeg,0150.01,Apt & Other,0,0,48,0,48
Man.,Winnipeg,0150.02,Apt & Other,--,--,--,--,--
Man.,Winnipeg,0160.00,Apt & Other,0,6,0,0,6
Man.,Winnipeg,0161.01,Apt & Other,--,--,--,--,--
Man.,Winnipeg,0161.02,Apt & Other,--,--,--,--,--
Man.,Winnipeg,0500.01,Apt & Other,2,508,593,76,"1,179"
Man.,Winnipeg,0500.02,Apt & Other,0,27,70,6,103
Man.,Winnipeg,0500.04,Apt & Other,8,224,324,12,568
Man.,Winnipeg,0500.07,Apt & Other,--,--,--,--,--
Man.,Winnipeg,0500.08,Apt & Other,0,16,65,3,84
Man.,Winnipeg,0500.09,Apt & Other,--,--,--,--,--
Man.,Winnipeg,0500.10,Apt & Other,0,183,147,0,330
Man.,Winnipeg,0500.11,Apt & Other,0,55,269,12,336
Man.,Winnipeg,0500.12,Apt & Other,0,65,363,50,478
