ct_id,geo,units_total,units_bachelor,units_1br,units_2br,units_3br_plus,share_bachelor,share_1br,share_2br,share_3br_plus,rent_bachelor,rent_1br,rent_2br,rent_3br_plus,rent_total,vacancy_bachelor,vacancy_1br,vacancy_2br,vacancy_3br_plus,vacancy_total,median_household_income_2020,annual_rent_total,rent_income_pct,affordability_tier
0020.00,0020.00 - Winnipeg,72.0,0.0,32.0,40.0,0.0,0.0,0.4444444444444444,0.5555555555555556,0.0,,,,,,,,,,,79500.0,,,
0021.00,0021.00 - Winnipeg,744.0,226.0,394.0,121.0,3.0,0.30376344086021506,0.5295698924731183,0.16263440860215053,0.004032258064516129,628.0,723.0,902.0,,757.0,,,,,4.5,63200.0,9084.0,14.373417721518988,Lower relative burden
0022.00,0022.00 - Winnipeg,798.0,159.0,462.0,158.0,19.0,0.19924812030075187,0.5789473684210527,0.19799498746867167,0.023809523809523808,815.0,812.0,1068.0,,853.0,,,,,,37600.0,10236.0,27.22340425531915,Highest relative burden
0023.00,0023.00 - Winnipeg,,325.0,673.0,349.0,9.0,,,,,742.0,923.0,1051.0,,912.0,4.8,3.8,3.6,,4.0,39600.0,10944.0,27.636363636363637,Highest relative burden
0024.00,0024.00 - Winnipeg,224.0,13.0,116.0,95.0,0.0,0.05803571428571429,0.5178571428571429,0.42410714285714285,0.0,,1266.0,1578.0,,1379.0,,4.1,5.5,,4.9,75000.0,16548.0,22.064,Higher relative burden
0025.00,0025.00 - Winnipeg,360.0,12.0,246.0,97.0,5.0,0.03333333333333333,0.6833333333333333,0.26944444444444443,0.013888888888888888,,,,,,,,,,,45600.0,,,
0026.00,0026.00 - Winnipeg,90.0,19.0,38.0,28.0,5.0,0.2111111111111111,0.4222222222222222,0.3111111111111111,0.05555555555555555,,707.0,,,632.0,,,,,,40400.0,7584.0,18.77227722772277,Moderate relative burden
0027.00,0027.00 - Winnipeg,68.0,0.0,48.0,20.0,0.0,0.0,0.7058823529411765,0.29411764705882354,0.0,,,,,,,,,,,57200.0,,,
0028.00,0028.00 - Winnipeg,681.0,82.0,380.0,211.0,8.0,0.12041116005873716,0.5580029368575624,0.30983847283406757,0.011747430249632892,634.0,701.0,921.0,,747.0,,,,,,55200.0,8964.0,16.23913043478261,Lower relative burden
0029.00,0029.00 - Winnipeg,175.0,7.0,132.0,33.0,3.0,0.04,0.7542857142857143,0.18857142857142858,0.017142857142857144,,,,,,,0.0,,,0.0,74500.0,,,
0030.00,0030.00 - Winnipeg,208.0,26.0,147.0,35.0,0.0,0.125,0.7067307692307693,0.16826923076923078,0.0,,,,,,,,,,,83000.0,,,
0031.00,0031.00 - Winnipeg,,,,,,,,,,,,,,,,,,,,78500.0,,,
0032.00,0032.00 - Winnipeg,108.0,5.0,74.0,28.0,1.0,0.046296296296296294,0.6851851851851852,0.25925925925925924,0.009259259259259259,,675.0,788.0,,702.0,,,,,,66500.0,8424.0,12.66766917293233,Lower relative burden
0033.00,0033.00 - Winnipeg,,,,,,,,,,,,,,,,,,,,65000.0,,,
0034.00,0034.00 - Winnipeg,43.0,0.0,22.0,20.0,1.0,0.0,0.5116279069767442,0.46511627906976744,0.023255813953488372,,,,,,,,,,,39600.0,,,
0035.00,0035.00 - Winnipeg,56.0,9.0,21.0,17.0,9.0,0.16071428571428573,0.375,0.30357142857142855,0.16071428571428573,,,,,,,,,,,49200.0,,,
0036.00,0036.00 - Winnipeg,29.0,2.0,17.0,10.0,0.0,0.06896551724137931,0.5862068965517241,0.3448275862068966,0.0,,,,,,,,,,,38400.0,,,
0037.00,0037.00 - Winnipeg,,,,,,,,,,,,,,,,,,,,74000.0,,,
0038.00,0038.00 - Winnipeg,801.0,73.0,446.0,257.0,25.0,0.09113607990012484,0.5568039950062422,0.3208489388264669,0.031210986267166042,694.0,926.0,1089.0,,966.0,,3.7,5.2,,3.9,57600.0,11592.0,20.125,Higher relative burden
0039.00,0039.00 - Winnipeg,440.0,43.0,270.0,124.0,3.0,0.09772727272727273,0.6136363636363636,0.2818181818181818,0.006818181818181818,726.0,824.0,929.0,,840.0,,,0.0,,,61200.0,10080.0,16.470588235294116,Moderate relative burden
0040.00,0040.00 - Winnipeg,25.0,0.0,15.0,10.0,0.0,0.0,0.6,0.4,0.0,,,,,,,,,,,83000.0,,,
0041.00,0041.00 - Winnipeg,72.0,10.0,36.0,25.0,1.0,0.1388888888888889,0.5,0.3472222222222222,0.013888888888888888,673.0,797.0,834.0,,788.0,8.5,,,,,73000.0,9456.0,12.953424657534246,Lower relative burden
