ct_id,units_bachelor,units_1br,units_2br,units_3br_plus,units_total,share_bachelor,share_1br,share_2br,share_3br_plus,log_units_total,vacancy_bachelor,vacancy_1br,vacancy_2br,vacancy_3br_plus,vacancy_total,vacancy_bachelor_reliability,vacancy_1br_reliability,vacancy_2br_reliability,vacancy_3br_plus_reliability,vacancy_total_reliability,rent_bachelor,rent_1br,rent_2br,rent_3br_plus,rent_total,rent_bachelor_reliability,rent_1br_reliability,rent_2br_reliability,rent_3br_plus_reliability,rent_total_reliability,geo,statcan_dguid,median_household_income_2020
0024.00,13.0,116.0,95.0,0.0,224.0,0.05803571428571429,0.5178571428571429,0.42410714285714285,0.0,5.41610040220442,,4.1,5.5,,4.9,',a,a,',a,,1266.0,1578.0,,1379.0,',a,a,',a,0024.00 - Winnipeg,2021S05076020024.00,75000.0
0025.00,12.0,246.0,97.0,5.0,360.0,0.03333333333333333,0.6833333333333333,0.26944444444444443,0.013888888888888888,5.8888779583328805,,,,,,',',',',',,,,,,',',',',',0025.00 - Winnipeg,2021S05076020025.00,45600.0
0026.00,19.0,38.0,28.0,5.0,90.0,0.2111111111111111,0.4222222222222222,0.3111111111111111,0.05555555555555555,4.51085950651685,,,,,,',',',',',,707.0,,,632.0,',c,',',d,0026.00 - Winnipeg,2021S05076020026.00,40400.0
0027.00,0.0,48.0,20.0,0.0,68.0,0.0,0.7058823529411765,0.29411764705882354,0.0,4.23410650459726,,,,,,',',',',',,,,,,',',',',',0027.00 - Winnipeg,2021S05076020027.00,57200.0
0028.00,82.0,380.0,211.0,8.0,681.0,0.12041116005873716,0.5580029368575624,0.30983847283406757,0.011747430249632892,6.525029657843462,,,,,,',',',',',634.0,701.0,921.0,,747.0,c,b,d,',c,0028.00 - Winnipeg,2021S05076020028.00,55200.0
0029.00,7.0,132.0,33.0,3.0,175.0,0.04,0.7542857142857143,0.18857142857142858,0.017142857142857144,5.170483995038151,,0.0,,,0.0,',d,',',d,,,,,,',',',',',0029.00 - Winnipeg,2021S05076020029.00,74500.0
0030.00,26.0,147.0,35.0,0.0,208.0,0.125,0.7067307692307693,0.16826923076923078,0.0,5.342334251964811,,,,,,',',',',',,,,,,',',',',',0030.00 - Winnipeg,2021S05076020030.00,83000.0
0031.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0031.00 - Winnipeg,2021S05076020031.00,78500.0
0032.00,5.0,74.0,28.0,1.0,108.0,0.046296296296296294,0.6851851851851852,0.25925925925925924,0.009259259259259259,4.6913478822291435,,,,,,',',',',',,675.0,788.0,,702.0,',a,a,',a,0032.00 - Winnipeg,2021S05076020032.00,66500.0
0033.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0033.00 - Winnipeg,2021S05076020033.00,65000.0
0034.00,0.0,22.0,20.0,1.0,43.0,0.0,0.5116279069767442,0.46511627906976744,0.023255813953488372,3.784189633918261,,,,,,',',',',',,,,,,',',',',',0034.00 - Winnipeg,2021S05076020034.00,39600.0
0035.00,9.0,21.0,17.0,9.0,56.0,0.16071428571428573,0.375,0.30357142857142855,0.16071428571428573,4.04305126783455,,,,,,',',',',',,,,,,',',',',',0035.00 - Winnipeg,2021S05076020035.00,49200.0
0036.00,2.0,17.0,10.0,0.0,29.0,0.06896551724137931,0.5862068965517241,0.3448275862068966,0.0,3.4011973816621555,,,,,,',',',',',,,,,,',',',',',0036.00 - Winnipeg,2021S05076020036.00,38400.0
0037.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0037.00 - Winnipeg,2021S05076020037.00,74000.0
0038.00,73.0,446.0,257.0,25.0,801.0,0.09113607990012484,0.5568039950062422,0.3208489388264669,0.031210986267166042,6.687108607866515,,3.7,5.2,,3.9,',d,d,',d,694.0,926.0,1089.0,,966.0,c,a,b,',b,0038.00 - Winnipeg,2021S05076020038.00,57600.0
0039.00,43.0,270.0,124.0,3.0,440.0,0.09772727272727273,0.6136363636363636,0.2818181818181818,0.006818181818181818,6.089044875446846,,,0.0,,,',',d,',',726.0,824.0,929.0,,840.0,b,b,b,',b,0039.00 - Winnipeg,2021S05076020039.00,61200.0
0040.00,0.0,15.0,10.0,0.0,25.0,0.0,0.6,0.4,0.0,3.258096538021482,,,,,,',',',',',,,,,,',',',',',0040.00 - Winnipeg,2021S05076020040.00,83000.0
0041.00,10.0,36.0,25.0,1.0,72.0,0.1388888888888889,0.5,0.3472222222222222,0.013888888888888888,4.290459441148391,8.5,,,,,a,',',',',673.0,797.0,834.0,,788.0,a,b,d,',b,0041.00 - Winnipeg,2021S05076020041.00,73000.0
0042.00,13.0,114.0,106.0,0.0,233.0,0.055793991416309016,0.4892703862660944,0.45493562231759654,0.0,5.455321115357702,,,,,,',',',',',,664.0,831.0,,726.0,',b,c,',c,0042.00 - Winnipeg,2021S05076020042.00,51600.0
0043.00,10.0,46.0,34.0,2.0,92.0,0.10869565217391304,0.5,0.3695652173913043,0.021739130434782608,4.532599493153256,,,,,,',',',',',,654.0,781.0,,737.0,',b,c,',c,0043.00 - Winnipeg,2021S05076020043.00,46400.0
0044.00,0.0,81.0,22.0,0.0,103.0,0.0,0.7864077669902912,0.21359223300970873,0.0,4.6443908991413725,,,,,,',',',',',,,,,,',',',',',0044.00 - Winnipeg,2021S05076020044.00,62000.0
0045.00,4.0,109.0,66.0,5.0,184.0,0.021739130434782608,0.592391304347826,0.358695652173913,0.02717391304347826,5.220355825078324,,,,,,',',',',',,640.0,,,692.0,',b,',',b,0045.00 - Winnipeg,2021S05076020045.00,62400.0
0046.00,5.0,135.0,109.0,4.0,253.0,0.019762845849802372,0.5335968379446641,0.4308300395256917,0.015810276679841896,5.537334267018537,,9.6,,,7.9,',c,',',c,,800.0,919.0,,847.0,',a,a,',a,0046.00 - Winnipeg,2021S05076020046.00,62000.0
0047.00,0.0,46.0,27.0,0.0,73.0,0.0,0.6301369863013698,0.3698630136986301,0.0,4.30406509320417,,2.5,,,1.6,',a,',',b,,781.0,,,790.0,',a,',',a,0047.00 - Winnipeg,2021S05076020047.00,74000.0
0048.00,1.0,2.0,1.0,0.0,4.0,0.25,0.5,0.25,0.0,1.6094379124341003,,,,,,',',',',',,,,,,',',',',',0048.00 - Winnipeg,2021S05076020048.00,82000.0
0049.00,1.0,4.0,2.0,0.0,7.0,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.0,2.0794415416798357,,,,,,',',',',',,,,,,',',',',',0049.00 - Winnipeg,2021S05076020049.00,94000.0
0050.01,0.0,13.0,9.0,0.0,22.0,0.0,0.5909090909090909,0.4090909090909091,0.0,3.1354942159291497,,,,,,',',',',',,,,,,',',',',',0050.01 - Winnipeg,2021S05076020050.01,60800.0
0050.02,5.0,63.0,36.0,0.0,104.0,0.04807692307692308,0.6057692307692307,0.34615384615384615,0.0,4.653960350157523,,,,,,',',',',',,947.0,,,982.0,',a,',',a,0050.02 - Winnipeg,2021S05076020050.02,87000.0
0051.01,2.0,58.0,130.0,33.0,223.0,0.008968609865470852,0.2600896860986547,0.5829596412556054,0.14798206278026907,5.4116460518550396,,1.7,1.6,,1.4,',a,a,',a,,,1539.0,,1575.0,',',a,',a,0051.01 - Winnipeg,2021S05076020051.01,111000.0
0051.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0051.02 - Winnipeg,2021S05076020051.02,110000.0
0051.03,0.0,71.0,107.0,36.0,214.0,0.0,0.3317757009345794,0.5,0.16822429906542055,5.3706380281276624,,,,,,',',',',',,,,,,',',',',',0051.03 - Winnipeg,2021S05076020051.03,93000.0
0052.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0052.00 - Winnipeg,2021S05076020052.00,
0100.01,0.0,8.0,52.0,0.0,60.0,0.0,0.13333333333333333,0.8666666666666667,0.0,4.110873864173311,,,,,,',',',',',,,,,,',',',',',0100.01 - Winnipeg,2021S05076020100.01,125000.0
0100.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0100.02 - Winnipeg,2021S05076020100.02,144000.0
0100.05,0.0,51.0,114.0,0.0,165.0,0.0,0.3090909090909091,0.6909090909090909,0.0,5.111987788356544,,,,,,',',',',',,,,,,',',',',',0100.05 - Winnipeg,2021S05076020100.05,90000.0
0100.06,0.0,159.0,452.0,10.0,621.0,0.0,0.2560386473429952,0.7278582930756844,0.01610305958132045,6.432940092739179,,1.4,,,0.5,',a,',',b,,1352.0,1796.0,,1652.0,',a,b,',b,0100.06 - Winnipeg,2021S05076020100.06,86000.0
0100.07,0.0,15.0,166.0,9.0,190.0,0.0,0.07894736842105263,0.8736842105263158,0.04736842105263158,5.25227342804663,,,,,,',',',',',,,,,,',',',',',0100.07 - Winnipeg,2021S05076020100.07,80000.0
0100.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0100.09 - Winnipeg,2021S05076020100.09,133000.0
0100.10,0.0,36.0,108.0,0.0,144.0,0.0,0.25,0.75,0.0,4.976733742420574,,,,,,',',',',',,,,,,',',',',',0100.10 - Winnipeg,2021S05076020100.10,105000.0
0101.01,2.0,241.0,199.0,4.0,446.0,0.004484304932735426,0.5403587443946188,0.4461883408071749,0.008968609865470852,6.102558594613569,,0.7,0.4,,0.5,',b,b,',b,,1174.0,1265.0,,1223.0,',b,b,',b,0101.01 - Winnipeg,2021S05076020101.01,91000.0
0101.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0101.02 - Winnipeg,2021S05076020101.02,109000.0
0102.01,0.0,66.0,150.0,28.0,244.0,0.0,0.27049180327868855,0.6147540983606558,0.11475409836065574,5.501258210544727,,,,,,',',',',',,,,,,',',',',',0102.01 - Winnipeg,2021S05076020102.01,79500.0
0102.02,40.0,483.0,310.0,6.0,839.0,0.04767580452920143,0.5756853396901073,0.3694874851013111,0.007151370679380214,6.733401891837359,,3.3,0.0,,1.7,',d,d,',c,893.0,1158.0,1284.0,,1194.0,b,b,a,',a,0102.02 - Winnipeg,2021S05076020102.02,63200.0
0102.03,11.0,366.0,344.0,12.0,733.0,0.015006821282401092,0.49931787175989084,0.4693042291950887,0.01637107776261937,6.598509028614515,,,,,,',',',',',,1009.0,1345.0,,1204.0,',a,b,',b,0102.03 - Winnipeg,2021S05076020102.03,60400.0
