province,centre,ct_id,dwelling_type,vacancy_bachelor,reliability_bachelor,vacancy_1br,reliability_1br,vacancy_2br,reliability_2br,vacancy_3br_plus,reliability_3br_plus,vacancy_total,reliability_total,vacancy_bachelor_pct,vacancy_1br_pct,vacancy_2br_pct,vacancy_3br_plus_pct,vacancy_total_pct
Man.,Winnipeg,0100.07,Apt & Other,--,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0100.09,Apt & Other,--,,--,,--,,--,,--,,,,,,
Man.,Winnipeg,0100.10,Apt & Other,--,',**,',**,',--,',**,',,,,,
Man.,Winnipeg,0101.01,Apt & Other,**,',0.7%,b,0.4%,b,**,',0.5%,b,,0.7,0.4,,0.5
Man.,Winnipeg,0101.02,Apt & Other,--,,--,,--,,--,,--,,,,,,
Man.,Winnipeg,0102.01,Apt & Other,--,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0102.02,Apt & Other,**,',3.3%,d,0.0%,d,**,',1.7%,c,,3.3,0.0,,1.7
Man.,Winnipeg,0102.03,Apt & Other,**,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0102.04,Apt & Other,**,',0.0%,a,0.6%,a,0.0%,a,0.3%,a,,0.0,0.6,0.0,0.3
Man.,Winnipeg,0103.00,Apt & Other,**,',**,',**,',--,',**,',,,,,
Man.,Winnipeg,0104.00,Apt & Other,**,',**,',0.5%,a,**,',0.4%,a,,,0.5,,0.4
Man.,Winnipeg,0105.00,Apt & Other,**,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0110.01,Apt & Other,**,',0.0%,a,0.2%,a,**,',0.2%,a,,0.0,0.2,,0.2
Man.,Winnipeg,0110.02,Apt & Other,--,',**,',**,',--,',**,',,,,,
Man.,Winnipeg,0110.04,Apt & Other,**,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0110.06,Apt & Other,--,',**,',**,',--,',**,',,,,,
Man.,Winnipeg,0110.08,Apt & Other,**,',**,',0.2%,a,**,',0.1%,a,,,0.2,,0.1
Man.,Winnipeg,0110.09,Apt & Other,**,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0111.00,Apt & Other,**,',**,',**,',--,',**,',,,,,
Man.,Winnipeg,0112.01,Apt & Other,**,',**,',**,',--,',**,',,,,,
Man.,Winnipeg,0112.02,Apt & Other,**,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0113.00,Apt & Other,**,',0.0%,d,**,',**,',0.7%,b,,0.0,,,0.7
Man.,Winnipeg,0114.00,Apt & Other,**,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0115.00,Apt & Other,**,',0.0%,d,0.0%,d,**,',0.0%,d,,0.0,0.0,,0.0
Man.,Winnipeg,0116.00,Apt & Other,0.0%,d,**,',0.0%,d,**,',0.5%,b,0.0,,0.0,,0.5
Man.,Winnipeg,0117.00,Apt & Other,**,',0.0%,d,**,',**,',**,',,0.0,,,
Man.,Winnipeg,0120.01,Apt & Other,--,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0120.03,Apt & Other,--,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0120.04,Apt & Other,--,,--,,--,,--,,--,,,,,,
Man.,Winnipeg,0120.05,Apt & Other,**,',--,',**,',--,',**,',,,,,
Man.,Winnipeg,0121.00,Apt & Other,--,',**,',**,',--,',4.3%,c,,,,,4.3
Man.,Winnipeg,0122.01,Apt & Other,**,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0122.02,Apt & Other,--,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0123.00,Apt & Other,**,',**,',0.0%,d,--,',0.0%,d,,,0.0,,0.0
Man.,Winnipeg,0130.01,Apt & Other,**,',1.9%,c,0.0%,d,--,',1.3%,d,,1.9,0.0,,1.3
Man.,Winnipeg,0130.02,Apt & Other,--,',0.4%,b,1.6%,c,**,',0.9%,a,,0.4,1.6,,0.9
Man.,Winnipeg,0131.00,Apt & Other,--,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0132.00,Apt & Other,**,',**,',**,',--,',**,',,,,,
Man.,Winnipeg,0133.00,Apt & Other,**,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0134.00,Apt & Other,**,',0.7%,b,0.4%,b,**,',0.6%,b,,0.7,0.4,,0.6
Man.,Winnipeg,0140.01,Apt & Other,--,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0140.02,Apt & Other,--,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0140.04,Apt & Other,0.0%,a,0.3%,a,0.4%,a,0.0%,d,0.4%,a,0.0,0.3,0.4,0.0,0.4
Man.,Winnipeg,0140.05,Apt & Other,--,',0.0%,a,0.4%,a,0.0%,a,0.3%,a,,0.0,0.4,0.0,0.3
Man.,Winnipeg,0141.01,Apt & Other,**,',1.1%,a,0.0%,d,**,',0.6%,b,,1.1,0.0,,0.6
Man.,Winnipeg,0141.02,Apt & Other,**,',0.5%,b,0.3%,b,**,',0.4%,b,,0.5,0.3,,0.4
Man.,Winnipeg,0142.01,Apt & Other,**,',**,',**,',--,',**,',,,,,
Man.,Winnipeg,0142.02,Apt & Other,--,,--,,--,,--,,--,,,,,,
Man.,Winnipeg,0142.03,Apt & Other,**,',0.2%,b,1.0%,a,**,',0.7%,a,,0.2,1.0,,0.7
Man.,Winnipeg,0142.04,Apt & Other,--,,--,,--,,--,,--,,,,,,
Man.,Winnipeg,0150.01,Apt & Other,--,',--,',**,',--,',**,',,,,,
