ct_id,geo,statcan_dguid,median_household_income_2020
0131.00,0131.00 - Winnipeg,2021S05076020131.00,65500.0
0132.00,0132.00 - Winnipeg,2021S05076020132.00,87000.0
0133.00,0133.00 - Winnipeg,2021S05076020133.00,77500.0
0134.00,0134.00 - Winnipeg,2021S05076020134.00,75000.0
0140.01,0140.01 - Winnipeg,2021S05076020140.01,83000.0
0140.02,0140.02 - Winnipeg,2021S05076020140.02,110000.0
0140.04,0140.04 - Winnipeg,2021S05076020140.04,95000.0
0140.05,0140.05 - Winnipeg,2021S05076020140.05,101000.0
0141.01,0141.01 - Winnipeg,2021S05076020141.01,71500.0
0141.02,0141.02 - Winnipeg,2021S05076020141.02,60400.0
0142.01,0142.01 - Winnipeg,2021S05076020142.01,72500.0
0142.02,0142.02 - Winnipeg,2021S05076020142.02,114000.0
0142.03,0142.03 - Winnipeg,2021S05076020142.03,51200.0
0142.04,0142.04 - Winnipeg,2021S05076020142.04,85000.0
0150.01,0150.01 - Winnipeg,2021S05076020150.01,129000.0
0150.02,0150.02 - Winnipeg,2021S05076020150.02,155000.0
0160.00,0160.00 - Winnipeg,2021S05076020160.00,107000.0
0161.01,0161.01 - Winnipeg,2021S05076020161.01,55600.0
0161.02,0161.02 - Winnipeg,2021S05076020161.02,80000.0
0500.01,0500.01 - Winnipeg,2021S05076020500.01,65500.0
0500.02,0500.02 - Winnipeg,2021S05076020500.02,90000.0
0500.04,0500.04 - Winnipeg,2021S05076020500.04,68000.0
0500.07,0500.07 - Winnipeg,2021S05076020500.07,116000.0
0500.08,0500.08 - Winnipeg,2021S05076020500.08,139000.0
0500.09,0500.09 - Winnipeg,2021S05076020500.09,131000.0
0500.10,0500.10 - Winnipeg,2021S05076020500.10,87000.0
0500.11,0500.11 - Winnipeg,2021S05076020500.11,108000.0
0500.12,0500.12 - Winnipeg,2021S05076020500.12,107000.0
0500.13,0500.13 - Winnipeg,2021S05076020500.13,103000.0
0501.01,0501.01 - Winnipeg,2021S05076020501.01,52000.0
0501.02,0501.02 - Winnipeg,2021S05076020501.02,88000.0
0501.03,0501.03 - Winnipeg,2021S05076020501.03,59200.0
0502.00,0502.00 - Winnipeg,2021S05076020502.00,93000.0
0503.00,0503.00 - Winnipeg,2021S05076020503.00,106000.0
0510.02,0510.02 - Winnipeg,2021S05076020510.02,141000.0
0510.03,0510.03 - Winnipeg,2021S05076020510.03,78500.0
0510.06,0510.06 - Winnipeg,2021S05076020510.06,151000.0
0520.02,0520.02 - Winnipeg,2021S05076020520.02,125000.0
0520.03,0520.03 - Winnipeg,2021S05076020520.03,96000.0
0520.04,0520.04 - Winnipeg,2021S05076020520.04,138000.0
0520.05,0520.05 - Winnipeg,2021S05076020520.05,159000.0
0521.01,0521.01 - Winnipeg,2021S05076020521.01,114000.0
0521.02,0521.02 - Winnipeg,2021S05076020521.02,97000.0
0522.01,0522.01 - Winnipeg,2021S05076020522.01,90000.0
0522.02,0522.02 - Winnipeg,2021S05076020522.02,112000.0
0530.00,0530.00 - Winnipeg,2021S05076020530.00,71500.0
0531.00,0531.00 - Winnipeg,2021S05076020531.00,73000.0
0532.00,0532.00 - Winnipeg,2021S05076020532.00,84000.0
0533.00,0533.00 - Winnipeg,2021S05076020533.00,90000.0
0534.00,0534.00 - Winnipeg,2021S05076020534.00,71000.0
0535.00,0535.00 - Winnipeg,2021S05076020535.00,86000.0
0536.00,0536.00 - Winnipeg,2021S05076020536.00,73000.0
0537.01,0537.01 - Winnipeg,2021S05076020537.01,74500.0
0537.02,0537.02 - Winnipeg,2021S05076020537.02,114000.0
0537.03,0537.03 - Winnipeg,2021S05076020537.03,94000.0
0538.00,0538.00 - Winnipeg,2021S05076020538.00,90000.0
0539.01,0539.01 - Winnipeg,2021S05076020539.01,94000.0
0539.02,0539.02 - Winnipeg,2021S05076020539.02,74500.0
0540.01,0540.01 - Winnipeg,2021S05076020540.01,105000.0
0540.02,0540.02 - Winnipeg,2021S05076020540.02,79000.0
0540.03,0540.03 - Winnipeg,2021S05076020540.03,70500.0
0540.04,0540.04 - Winnipeg,2021S05076020540.04,74000.0
0541.00,0541.00 - Winnipeg,2021S05076020541.00,
0542.00,0542.00 - Winnipeg,2021S05076020542.00,75500.0
0550.00,0550.00 - Winnipeg,2021S05076020550.00,90000.0
0551.00,0551.00 - Winnipeg,2021S05076020551.00,77000.0
0552.01,0552.01 - Winnipeg,2021S05076020552.01,91000.0
0552.02,0552.02 - Winnipeg,2021S05076020552.02,72000.0
0553.00,0553.00 - Winnipeg,2021S05076020553.00,61200.0
0560.01,0560.01 - Winnipeg,2021S05076020560.01,106000.0
0560.04,0560.04 - Winnipeg,2021S05076020560.04,91000.0
